cc_num,name,total_transactions,fraud_transactions
4189810000000.0,Jason Farmer,409,12
4198470000000.0,Christie Williamson,1624,12
4220350000000.0,Patrick Torres,1272,12
4247920000000.0,Judith Moss,1237,8
4260130000000.0,Whitney Gallagher,1161,18
4279160000000.0,Lisa Hendrix,817,13
4294930000000.0,Misty Rivera,1677,15
4306630000000.0,Maureen Garza,843,8
4383520000000.0,John Robertson,859,11
4393520000000.0,Charles Rodriguez,846,10
4396680000000.0,Scott Cole,423,8
4457490000000.0,John Ross,10,10
4464460000000.0,Breanna Rodriguez,2036,8
4500000000000.0,Joseph Nixon,1659,13
4561550000000.0,Daniel Briggs,2048,8
4561890000000.0,Jacqueline Allen,850,11
4585130000000.0,Karen Gordon,1229,12
4593570000000.0,Chelsea Silva,19,19
4598030000000.0,Christopher Contreras,9,9
4600160000000.0,Charles Copeland,413,7
4601640000000.0,Mark Rivera,816,12
4605900000000.0,Vincent Mueller,427,8
4613310000000.0,Jason Murphy,1224,8
4629130000000.0,Brandy Johnson,12,12
4642890000000.0,Eddie Mendez,1689,10
4658120000000.0,Dwayne Martinez,823,8
4681700000000.0,Joseph Gonzalez,2086,7
4683640000000.0,Daniel Boyd,1685,9
4687260000000.0,Sarah Cross,423,12
4760120000000.0,Robert Jordan,416,11
4788100000000.0,Kristin Williams,799,8
4806440000000.0,Eric Patel,436,13
4807550000000.0,Kimberly Castro,403,4
4809700000000.0,Sabrina Nolan,1624,2
4844240000000.0,David Santiago,10,10
4862290000000.0,Elizabeth Payne,1690,4
4917230000000.0,Adam Keller,412,14
4975460000000.0,Danielle Schaefer,7,7
4988300000000.0,William Thompson,1655,12
4990490000000.0,Martin Ford,1693,14
30030400000000.0,William Jenkins,1635,9
30033200000000.0,Kevin Summers,859,13
30044300000000.0,Allison Ayala,2040,12
30074700000000.0,Kelsey Richards,1679,16
30082000000000.0,Kathleen Thompson,1269,9
30118400000000.0,Jared Velazquez,1647,7
30131800000000.0,Brianna Foley,2091,12
30135200000000.0,Amanda Williams,1261,11
30143700000000.0,Nicholas Thornton,868,11
30181400000000.0,Danielle Walker,429,4
30230500000000.0,Hayden Sanders,1266,11
30235000000000.0,Matthew Lambert,2060,7
30235400000000.0,James Baldwin,2047,11
30248900000000.0,Michael Rodriguez,827,9
30273000000000.0,Andrew Patterson,2286,8
30328400000000.0,Helen Campbell,1267,5
30344700000000.0,Christine Johnson,844,9
30357400000000.0,John Nichols,419,8
30360300000000.0,Jennifer Garcia,409,5
30364100000000.0,Samuel Sandoval,1247,12
30371000000000.0,Robert James,789,9
30373800000000.0,Nicholas Osborne,419,9
30376200000000.0,Cynthia Davis,872,11
30404300000000.0,Savannah Lewis,857,6
30407700000000.0,Danielle Evans,1675,7
30427000000000.0,John Chandler,844,8
30428200000000.0,Greg Villarreal,1650,9
30434200000000.0,Kylie Kirby,405,9
30442400000000.0,Linda Sanchez,1252,14
30499700000000.0,Austin Phillips,12,12
30501600000000.0,Amanda Smith,1671,15
30518200000000.0,Karen Sullivan,1645,14
30541100000000.0,Derrick George,433,7
30561200000000.0,Gina Morrison,1726,9
30596500000000.0,Daniel Graham,414,9
36153900000000.0,Erik Stevens,868,10
36192600000000.0,Susan Garcia,403,12
36360500000000.0,Christopher Raymond,411,7
36485900000000.0,Michael Gross,1537,7
36581500000000.0,Brandon Bridges,429,9
36721400000000.0,Cesar Smith,1253,15
38052000000000.0,Anna Logan,2095,11
38057500000000.0,Marissa Clark,1210,9
38199000000000.0,Jesse Roberts,1689,13
38295600000000.0,Candice Brown,1654,14
38534200000000.0,James Taylor,9,9
38580500000000.0,Teresa Clark,1720,5
38588500000000.0,Jacqueline Curry,1643,8
38797400000000.0,Andrew Tucker,1236,10
38817500000000.0,Molly Marshall,8,8
38947700000000.0,Lori Rodriguez,1217,7
180014000000000.0,Brianna Page,834,12
180017000000000.0,Michelle Anderson,836,9
180031000000000.0,Becky Mckinney,2087,14
180036000000000.0,Mackenzie Salazar,2100,10
180038000000000.0,Savannah Clark,10,10
180040000000000.0,Mary Schmidt,408,9
180043000000000.0,Charles Robles,1657,8
180047000000000.0,Erika Mason,2061,17
180048000000000.0,Mary Wall,2513,14
180049000000000.0,Michael Flores,1676,12
180056000000000.0,Larry Warner,841,8
180059000000000.0,Richard Barnes,361,9
180065000000000.0,Krystal Gamble,2500,20
180067000000000.0,Karen Ryan,1232,9
180068000000000.0,Mary Juarez,2093,22
180069000000000.0,William Hunter,831,9
180081000000000.0,Connie Carroll,842,5
180085000000000.0,David Kirby,1657,21
180094000000000.0,Sharon Smith,2461,4
180095000000000.0,Tammie Harper,430,12
213103000000000.0,Joanne Padilla,1205,14
213113000000000.0,Melanie Jimenez,1248,15
213114000000000.0,Jeremy Perry,838,7
213120000000000.0,Willie Jordan,864,4
213125000000000.0,Steven Arnold,1202,6
213126000000000.0,Adam Kirk,1255,11
213127000000000.0,Christopher Luna,1221,7
213137000000000.0,Christine Davis,389,10
213142000000000.0,Margaret Curtis,2460,3
213148000000000.0,Jill Jacobs,1203,8
213156000000000.0,James Yoder,831,13
213158000000000.0,Tara Campbell,2093,14
213162000000000.0,Monica Lane,1275,9
213174000000000.0,Joseph Wagner,2474,24
213179000000000.0,Shawn King,2864,7
213187000000000.0,Craig Franco,821,15
213194000000000.0,James Hunt,1643,8
213196000000000.0,Zachary Allen,1229,8
340103000000000.0,Sophia Dickson,845,7
340187000000000.0,Misty Hart,7,7
340951000000000.0,Maria Garcia,1247,11
340954000000000.0,Tyler Wright,2071,12
341546000000000.0,Mark Brown,1265,15
342036000000000.0,Jennifer Carrillo,399,11
342351000000000.0,Rebecca Obrien,1265,5
342360000000000.0,Gabriella Jordan,412,15
343464000000000.0,Jodi Foster,1230,8
343473000000000.0,Gloria Wallace,833,8
343669000000000.0,Sally Moore,1241,10
344710000000000.0,Joanna Hudson,2483,14
345060000000000.0,Brian Perez,845,9
345226000000000.0,Christopher Wilson,10,10
345389000000000.0,Justin Fowler,1682,9
345934000000000.0,Carol Dillon,2481,11
346208000000000.0,Tabitha Reyes,432,9
346244000000000.0,Sean Miller,403,10
346273000000000.0,Donna Moreno,2106,3
347073000000000.0,Ryan Johnson,859,9
347613000000000.0,Robert James,422,13
349613000000000.0,Xavier Beltran,1222,13
349813000000000.0,Susan Garcia,8,8
370349000000000.0,Christopher Gomez,816,9
370819000000000.0,John Davis,822,7
370877000000000.0,Sarah Clark,2117,7
371009000000000.0,Randall Burgess,1231,11
371034000000000.0,Jeremy Jones,808,10
371226000000000.0,Stacy Lambert,2063,15
371284000000000.0,Jeremy Moore,1646,13
371683000000000.0,Debra Becker,412,10
372246000000000.0,Rick Martinez,1265,11
372509000000000.0,Kristen Hanson,2470,8
372520000000000.0,Lori Ramirez,2361,6
373043000000000.0,Vincent Richards,867,9
373213000000000.0,Bobby Smith,448,11
373905000000000.0,Sarah Bishop,2099,13
374238000000000.0,Daniel Martinez,848,13
374656000000000.0,David Lewis,1250,8
374930000000000.0,Daniel Escobar,2056,10
375237000000000.0,David Erickson,437,10
375623000000000.0,Karen Brewer,10,10
375768000000000.0,Christopher Patterson,1228,8
375849000000000.0,Dale Smith,1261,11
375905000000000.0,Ryan Cook,828,6
376028000000000.0,Aaron Murray,1662,8
376262000000000.0,Christopher Carr,851,9
376944000000000.0,Tiffany Stephens,424,9
377027000000000.0,Jackie Davis,2052,10
377114000000000.0,Billy Gallagher,1654,7
377234000000000.0,Theresa Blackwell,1634,13
377265000000000.0,Kara Miles,423,8
377655000000000.0,Lawrence Davis,1209,7
377896000000000.0,Kimberly Myers,849,11
377993000000000.0,Nathan Martinez,1678,12
378263000000000.0,Jacob Snow,11,11
378279000000000.0,Mary Mcintyre,1244,12
2227670000000000.0,Angie Jones,435,16
2233880000000000.0,Jamie Robinson,1283,7
2235340000000000.0,Maria Rosales,433,8
2242540000000000.0,Samuel Jenkins,2313,15
2248350000000000.0,Jennifer Scott,826,15
2248740000000000.0,Jacob Weber,1652,5
2252060000000000.0,Jason Hernandez,1629,8
2254920000000000.0,Margaret Gibson,2101,10
2256230000000000.0,Christopher Grimes,842,10
2260800000000000.0,Monique Fox,439,9
2264940000000000.0,Juan Sherman,2073,9
2266740000000000.0,Carlos Chung,1627,9
2269770000000000.0,Shannon Patterson,1285,10
2274910000000000.0,Robert Velazquez,415,7
2283740000000000.0,Shannon Williams,2074,13
2287280000000000.0,Calvin Molina,9,9
2288750000000000.0,Kathleen Heath,427,12
2288810000000000.0,Barbara Norman,1216,7
2291160000000000.0,Jeff Elliott,1255,12
2295960000000000.0,Tammy Mathews,10,10
2305340000000000.0,Jeffrey Rice,1275,10
2348250000000000.0,Justin Gay,1274,11
2356280000000000.0,Benjamin Harris,849,10
2383460000000000.0,Patrick Vaughan,1684,15
2450830000000000.0,Timothy Kirby,862,12
2512310000000000.0,John Mccormick,851,11
2610530000000000.0,Tanya Dickerson,438,14
2657850000000000.0,Alan Howard,842,10
2713910000000000.0,Jacqueline Howard,1258,8
2719500000000000.0,Sheila Baker,837,12
2720010000000000.0,Joseph Murray,1610,8
2720430000000000.0,Mark Wood,2559,16
2720830000000000.0,Melissa Aguilar,829,10
2720890000000000.0,Audrey Hickman,822,11
3500970000000000.0,Kenneth Sanchez,1939,15
3501510000000000.0,Frank Anderson,1662,9
3502380000000000.0,Kathleen Martin,1233,11
3506040000000000.0,Christine Burns,2072,23
3508100000000000.0,Michael Fisher,846,11
3511060000000000.0,Briana Santos,421,9
3511380000000000.0,James Cooper,2044,11
3512370000000000.0,Francisco Kemp,1611,8
3513620000000000.0,Amber Perez,1611,4
3514870000000000.0,Christopher Castaneda,1672,11
3517530000000000.0,Tracy Conway,1238,14
3517810000000000.0,William Cannon,831,11
3518670000000000.0,Dorothy Thomas,2034,16
3518760000000000.0,Antonio Koch,1226,9
3519230000000000.0,Michael Jones,856,15
3519610000000000.0,Audrey Gonzalez,1250,12
3520550000000000.0,Micheal Walters,773,19
3521260000000000.0,Robert Le,15,15
3521420000000000.0,Angela Hodges,2448,6
3523840000000000.0,Grace Williams,1720,15
3523900000000000.0,Joshua Carpenter,1641,8
3524490000000000.0,Dennis Jones,11,11
3525590000000000.0,Scott Fuller,2108,9
3525670000000000.0,Christopher Choi,849,11
3526830000000000.0,Nathan Massey,1635,11
3528040000000000.0,Traci Bridges,11,11
3529600000000000.0,Pamela Curtis,2087,14
3529790000000000.0,Samuel Sellers,10,10
3531130000000000.0,Shelby Mitchell,2084,13
3533010000000000.0,Megan Bernard,1681,7
3533180000000000.0,Derek Bentley,847,11
3533740000000000.0,Robert Haynes,2091,10
3533800000000000.0,Amber Thornton,1191,13
3534090000000000.0,Jeremy White,395,15
3534720000000000.0,Lisa Lopez,834,10
3536820000000000.0,Gerald Frank,419,11
3536920000000000.0,Michelle Juarez,427,9
3537800000000000.0,Christie Mendoza,430,14
3540020000000000.0,Lawrence Frost,428,8
3540210000000000.0,Steven Yoder,1243,10
3540860000000000.0,Nancy Roach,412,12
3541160000000000.0,Jason Singh,1940,10
3541550000000000.0,Brianna Wilson,447,12
3541690000000000.0,Mark Nguyen,409,11
3542160000000000.0,Bradley Anderson,429,12
3542830000000000.0,Eric Dunn,10,10
3543300000000000.0,Angela White,816,12
3543590000000000.0,Margaret Lam,2077,11
3543890000000000.0,Colleen Morris,11,11
3544610000000000.0,Carolyn Thomas,426,14
3545580000000000.0,Cody Blake,7,7
3546440000000000.0,Julie Vasquez,12,12
3546670000000000.0,Jordan May,824,2
3546900000000000.0,Kayla Obrien,1651,4
3547340000000000.0,Larry Garcia,11,11
3547560000000000.0,Jerry Robinson,1259,7
3547570000000000.0,Jacob Patel,1276,14
3548710000000000.0,Michael Rivera,12,12
3550550000000000.0,Ryan Foster,437,8
3551220000000000.0,Sara Harris,2448,3
3551510000000000.0,Erika Anderson,383,4
3552580000000000.0,Jonathan Castro,1283,10
3553630000000000.0,Sharon Johnson,2471,9
3554420000000000.0,Phyllis Powell,8,8
3554820000000000.0,Cory Thomas,422,13
3554850000000000.0,John Hudson,834,7
3556610000000000.0,Jose Vasquez,2083,16
3557440000000000.0,Angela Edwards,356,11
3558880000000000.0,Christopher Holt,841,9
3559680000000000.0,Olivia Stephenson,1253,13
3560250000000000.0,Sarah Scott,417,8
3560800000000000.0,Janet Turner,2495,11
3561960000000000.0,Michael Lee,1257,11
3562260000000000.0,Anthony Velasquez,429,14
3562680000000000.0,Amanda Jones,851,12
3564840000000000.0,Robert Ashley,1642,5
3565200000000000.0,Adriana Harvey,815,11
3565420000000000.0,Nathan Thomas,836,9
3565940000000000.0,David Thomas,391,12
3566090000000000.0,Kristina Stewart,2427,3
3566370000000000.0,Steven Castaneda,414,5
3567530000000000.0,Amanda Vance,822,12
3567880000000000.0,Tanya Williams,1658,15
3575540000000000.0,Rachel Villarreal,1245,16
3575790000000000.0,Lindsay Wilson,2486,11
3576430000000000.0,Jessica Ward,2478,2
3576510000000000.0,Leah Garner,425,7
3577660000000000.0,Cody Hooper,416,10
3583090000000000.0,Hannah Knight,428,11
3585740000000000.0,James Greene,1243,8
3587960000000000.0,Kathy Hughes,1532,11
3589290000000000.0,Paula Estrada,2063,7
3590740000000000.0,Kimberly Gonzalez,2438,8
3592930000000000.0,Dylan Garcia,828,9
3593400000000000.0,Douglas Smith,427,11
3595110000000000.0,Jeffery Sanders,420,5
3595190000000000.0,Dustin Roberts,2067,12
3597340000000000.0,Linda Gonzalez,842,9
3597980000000000.0,Mark Allen,416,9
3598220000000000.0,Ashley Lopez,2038,7
3598300000000000.0,Vincent Flowers,1668,10
3598630000000000.0,David Hughes,413,10
3598900000000000.0,Kenneth Richards,412,8
3599240000000000.0,Jessica Smith,877,12
4003770000000000.0,Danielle Hayden,818,9
4025610000000000.0,Krystal Key,1223,12
4048510000000000.0,Cheryl Melton,1257,14
4060580000000000.0,Steven Sanders,1250,9
4067140000000000.0,Christina Eaton,1241,13
4069980000000000.0,Kimberly Martin,1678,3
4070510000000000.0,Stephanie Hopkins,798,7
4099710000000000.0,James Stephens,2119,12
4116550000000000.0,Bridget Bowen,425,9
4124540000000000.0,Sydney Montoya,420,11
4128030000000000.0,Kyle Park,1269,11
4134460000000000.0,Lawrence Ellis,435,9
4149240000000000.0,Tanner Carroll,1673,9
4155020000000000.0,Renee Parrish,1667,8
4157210000000000.0,Bryan Gill,8,8
4168700000000000.0,Kevin Hawkins,15,15
4169760000000000.0,Jamie Carr,1634,11
4191110000000000.0,Jennifer Spencer,1250,7
4195830000000000.0,Victoria Mcbride,407,4
4204240000000000.0,Mary Golden,13,13
4228410000000000.0,Aaron Stewart,439,8
4239550000000000.0,Carl Hernandez,1233,9
4254070000000000.0,Gary Hall,849,12
4260060000000000.0,Aaron Rogers,421,12
4265780000000000.0,Christine Best,1642,10
4266200000000000.0,Joshua Bryant,852,14
4277230000000000.0,Jennifer Vance,1218,6
4294040000000000.0,Gail Weaver,1284,15
4302480000000000.0,David Rodriguez,3317,20
4308160000000000.0,William Marshall,402,9
4328930000000000.0,Margaret Ray,1286,7
4342530000000000.0,Kevin Elliott,1229,7
4348790000000000.0,John Nichols,407,8
4364010000000000.0,Gary Martinez,2445,15
4365380000000000.0,Robert Goodman,822,13
4377340000000000.0,Nicholas Mcmahon,1649,7
4378990000000000.0,Travis Hayes,1255,8
4424340000000000.0,Denise Barnett,1654,14
4428150000000000.0,Brittany Guerra,856,6
4430880000000000.0,Alicia Morales,1624,14
4446370000000000.0,Ryan Joseph,1670,14
4449530000000000.0,Felicia Mckee,1652,10
4450830000000000.0,Donna Davis,1645,12
4451440000000000.0,Cheryl Morgan,780,6
4451950000000000.0,Joseph Davis,1644,14
4474320000000000.0,Matthew Russell,1235,6
4488940000000000.0,Jacqueline Washington,860,14
4492490000000000.0,Jonathan Byrd,421,10
4492680000000000.0,Ashlee Long,11,11
4509920000000000.0,Monica West,857,11
4550600000000000.0,Angela West,1205,11
4555100000000000.0,Chris Daniel,416,14
4561370000000000.0,Pamela Lewis,839,14
4586810000000000.0,Michelle Gregory,2297,10
4587580000000000.0,Tina Lawrence,1669,14
4610050000000000.0,James Lynch,1234,8
4629450000000000.0,Karen Warren,1229,16
4633070000000000.0,Jasmine Wade,446,15
4635330000000000.0,Christina Rose,827,8
4642260000000000.0,Sabrina Johnson,2462,12
4657270000000000.0,Alicia Mitchell,821,10
4669560000000000.0,Daniel Hernandez,10,10
4670610000000000.0,Bianca Novak,824,8
4682740000000000.0,Gregory Webster,407,5
4683520000000000.0,Charles Carrillo,1254,8
4698160000000000.0,Sharon Powell,423,10
4707870000000000.0,Susan Shah,1240,6
4734310000000000.0,Mark Pennington,7,7
4764200000000000.0,Derek Jones,419,10
4767270000000000.0,Jennifer Conner,457,7
4789910000000000.0,Dorothy Zuniga,412,14
4800400000000000.0,Daniel Owens,1260,11
4822370000000000.0,Christopher Farrell,831,10
4824020000000000.0,Christina Nelson,411,9
4826660000000000.0,Tami Forbes,1674,10
4837000000000000.0,Susan Hardy,2401,4
4839040000000000.0,Meredith Campbell,798,8
4839620000000000.0,Phillip Robertson,1709,8
4859530000000000.0,Rebecca Farley,861,11
4874010000000000.0,Patricia Russell,413,16
4878360000000000.0,Tina Alvarez,386,4
4879270000000000.0,Collin Brown,434,13
4908850000000000.0,Lauren Torres,2451,3
4917190000000000.0,Joel Rivera,825,5
4922710000000000.0,Heather Chase,801,12
4926380000000000.0,Claire Davis,1258,15
4933460000000000.0,Richard Carter,797,11
4935860000000000.0,Lance Wagner,1235,8
4939980000000000.0,Michelle Johnston,2447,12
4952580000000000.0,Patricia Rodriguez,793,10
4979420000000000.0,Kelly Zimmerman,1641,11
4996260000000000.0,Kendra King,807,7
4997730000000000.0,Stephanie Taylor,1674,11
4998110000000000.0,Mary Pruitt,1655,9
5104810000000000.0,Regina Johnston,812,8
5127410000000000.0,David Campbell,421,11
5130480000000000.0,Ronald White,834,12
5144040000000000.0,Dakota Fowler,10,10
5152050000000000.0,Jim Johnson,1240,7
5154900000000000.0,Felicia Combs,436,15
5301650000000000.0,Joe Allen,11,11
5456780000000000.0,Taylor Khan,1639,5
5540640000000000.0,Kenneth Foster,2090,12
5559860000000000.0,Jack Hill,1276,13
5580560000000000.0,Stanley Dickson,837,10
5596350000000000.0,Joseph Moody,1240,10
6011110000000000.0,Rebecca Erickson,2525,2
6011150000000000.0,Jeffrey White,1699,19
6011200000000000.0,Vincent Ward,408,9
6011230000000000.0,Johnny Bennett,865,10
6011310000000000.0,Daniel Jones,820,9
6011350000000000.0,Samuel Johnston,2064,11
6011360000000000.0,Steven Williams,817,7
6011370000000000.0,Tammy Ayers,4173,16
6011380000000000.0,Martin Duarte,1639,22
6011390000000000.0,Jacqueline Marsh,2074,14
6011440000000000.0,Allison Allen,2529,14
6011500000000000.0,Ashley Whitney,2515,7
6011540000000000.0,Emily Hall,1710,11
6011550000000000.0,Robert Long,842,14
6011580000000000.0,Jerry Perkins,418,13
6011600000000000.0,Robert Holland,826,8
6011630000000000.0,Heather Roberts,835,10
6011650000000000.0,Kathryn Smith,2465,8
6011680000000000.0,Kaitlyn Newman,2040,11
6011690000000000.0,Victoria Fleming,2102,15
6011710000000000.0,Scott Sullivan,428,10
6011730000000000.0,Christina Norris,7,7
6011830000000000.0,Christine Johnson,9,9
6011860000000000.0,Lisa Mendez,1678,5
6011920000000000.0,William Johnson,823,6
6011930000000000.0,Joshua Cohen,820,10
6011940000000000.0,Robin Davis,11,11
6011950000000000.0,Mckenzie Brooks,424,12
6012000000000000.0,Ronald Carson,1245,9
6500250000000000.0,Arthur Wells,9,9
6501310000000000.0,Carrie Lewis,428,6
6502200000000000.0,Nathan Byrd,416,8
6506120000000000.0,Kimberly Rice,1715,15
6506980000000000.0,Alice Kemp,859,9
6511350000000000.0,Robert Nguyen,1250,4
6517220000000000.0,James Reese,1701,11
6517780000000000.0,Jeremy Nunez,11,11
6523180000000000.0,Alan Taylor,430,7
6524380000000000.0,Jasmine Foster,825,12
6526780000000000.0,Michael Garner,419,11
6526960000000000.0,Jennifer Scott,438,11
6528910000000000.0,Diane Smith,859,7
6534630000000000.0,Christine Harris,2542,15
6538890000000000.0,Jodi Rodriguez,2496,16
6540980000000000.0,Bryan Torres,834,8
6547670000000000.0,Bryce Joseph,1228,9
6550400000000000.0,Harry Mckee,842,10
6554250000000000.0,Monique Robinson,1254,11
6569100000000000.0,Steven Johnson,405,12
6573560000000000.0,Kristina Lewis,1215,10
6577780000000000.0,Kelly Lawrence,7,7
6592070000000000.0,Amanda Molina,402,6
6592240000000000.0,Philip Hart,815,7
6593250000000000.0,Melissa Meza,1286,6
6597890000000000.0,Bill Lane,1656,10
4.01811e+18,Katherine Love,835,5
4.04444e+18,Amy Abbott,413,7
4.06309e+18,Patricia Mendoza,817,9
4.09245e+18,Jeffrey Vargas,1676,12
4.102e+18,William Fitzgerald,1213,8
4.11027e+18,Sandra Schwartz,409,10
4.16287e+18,Jacqueline Johnson,10,10
4.18019e+18,Brian Ray,11,11
4.18183e+18,Jessica Potter,2073,14
4.2097e+18,Sarah Bell,421,9
4.21008e+18,Valerie Clark,1244,15
4.22371e+18,Adam Riddle,1678,12
4.22622e+18,Jessica Bell,399,3
4.24352e+18,Jose Jones,9,9
4.2554e+18,George Smith,841,8
4.25711e+18,Ryan Anderson,10,10
4.2929e+18,Jeffrey Smith,1195,8
4.30103e+18,Joe Howard,1664,14
4.31213e+18,Julian Price,845,9
4.31958e+18,Kathleen Nash,1666,8
4.35579e+18,Tanner Davis,1206,12
4.35814e+18,Dawn Stephens,833,9
4.37337e+18,Hailey Rhodes,401,8
4.37926e+18,Thomas Jenkins,1307,9
4.39097e+18,Kyle Simmons,831,8
4.42608e+18,Kyle James,404,11
4.45773e+18,Stanley Mayo,1654,11
4.46746e+18,Rita Myers,824,8
4.47716e+18,Angela Ross,854,8
4.48117e+18,Jennifer Johnson,8,8
4.48826e+18,Jessica Shaw,1263,9
4.49745e+18,Elizabeth Glover,809,7
4.49791e+18,Scott Edwards,837,7
4.5031e+18,Katherine Tucker,1250,2
4.56e+18,Stacy Villegas,1266,8
4.58766e+18,Amber Lewis,2309,5
4.59974e+18,Mary Myers,820,8
4.65963e+18,Richard Moore,12,12
4.66631e+18,Guy Thompson,430,11
4.68915e+18,Steven Brooks,1262,5
4.71402e+18,Rachel Johnson,7,7
4.71574e+18,Robert Drake,1286,11
4.73685e+18,Toni Gomez,1642,12
4.74288e+18,Cassandra Sanders,1201,7
4.75604e+18,Francisco Hernandez,420,8
4.76943e+18,Andrea Cruz,1634,9
4.79263e+18,Margaret Mendez,2505,5
4.79894e+18,Robert Williams,403,7
4.85585e+18,Justin Aguilar,413,12
4.89042e+18,Jeremy Whitney,1205,8
4.89707e+18,Randy Wood,869,12
4.90663e+18,Charles Moreno,2103,11
4.91182e+18,Jeremy Chavez,9,9
4.95683e+18,Kenneth Robinson,2090,10
4.97353e+18,Mary Rodriguez,860,10
4.99235e+18,Benjamin Kim,1689,8
