index,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
7523,2019-01-05 22:12:00,341546000000000.0,"fraud_Moen, Reinger and Murphy",grocery_pos,307.09,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",1939-11-09,755e4e8350ec4a3e9309727574c97726,1325801545,64.909145,-164.712087,1
7529,2019-01-05 22:18:00,341546000000000.0,"fraud_Hauck, Dietrich and Funk",kids_pets,4.58,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",1939-11-09,8fa7880cf01e6adc96e9654d69f3f035,1325801932,65.052892,-166.067029,1
7552,2019-01-05 22:32:00,341546000000000.0,fraud_Pouros-Haag,shopping_pos,730.78,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",1939-11-09,2396a5b8e277a4ce1d4fa939d6e7b19b,1325802748,65.233866,-166.550779,1
7554,2019-01-05 22:33:00,341546000000000.0,fraud_Goyette Inc,shopping_net,1006.4,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",1939-11-09,4d7e567247b6c4529ce4c32c03b2f040,1325802835,65.220316,-165.005725,1
7559,2019-01-05 22:38:00,341546000000000.0,"fraud_Baumbach, Strosin and Nicolas",shopping_pos,830.72,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",1939-11-09,773a3305db095657e1860a39dda24cf2,1325803095,65.710538,-165.986117,1
7598,2019-01-05 23:17:00,341546000000000.0,fraud_Pacocha-O'Reilly,grocery_pos,311.92,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",1939-11-09,191b3dcec7a6a49438be93cfbeaea9c1,1325805459,64.79501,-165.670735,1
7611,2019-01-05 23:26:00,30328400000000.0,fraud_Barrows PLC,shopping_pos,762.93,Helen,Campbell,F,182 Sergio Summit Apt. 129,Browning,MO,64630,40.029,-93.1607,602,Cytogeneticist,1954-07-14,19b126ecf4c79997e9edc6f260c09880,1325805984,40.205262,-93.499211,1
9130,2019-01-06 18:39:00,30328400000000.0,fraud_Fisher-Schowalter,shopping_net,855.88,Helen,Campbell,F,182 Sergio Summit Apt. 129,Browning,MO,64630,40.029,-93.1607,602,Cytogeneticist,1954-07-14,bbae703c3794b7738d08739afbaef898,1325875167,40.786018,-93.301092,1
9637,2019-01-06 23:33:00,30328400000000.0,fraud_Gleason-Macejkovic,shopping_net,909.29,Helen,Campbell,F,182 Sergio Summit Apt. 129,Browning,MO,64630,40.029,-93.1607,602,Cytogeneticist,1954-07-14,b98eb7183ee8a48e83539addc80ea9cc,1325892837,40.977312,-93.55098,1
10057,2019-01-07 04:34:00,3597980000000000.0,"fraud_Schumm, Bauch and Ondricka",grocery_pos,300.14,Mark,Allen,M,25360 Mcgee Forge,De Queen,AR,71832,34.0442,-94.3386,11253,"Scientist, biomedical",1957-04-25,47940b7992cca6310182d5e7805c3128,1325910888,33.205504,-93.710845,1
11933,2019-01-07 22:33:00,3597980000000000.0,"fraud_Baumbach, Feeney and Morar",shopping_net,967.92,Mark,Allen,M,25360 Mcgee Forge,De Queen,AR,71832,34.0442,-94.3386,11253,"Scientist, biomedical",1957-04-25,25b773670af1261dbd7045c31b98b47f,1325975585,34.371875,-93.649208,1
12069,2019-01-07 23:44:00,3597980000000000.0,fraud_Koepp-Witting,grocery_pos,270.01,Mark,Allen,M,25360 Mcgee Forge,De Queen,AR,71832,34.0442,-94.3386,11253,"Scientist, biomedical",1957-04-25,8ee3fd8155bf18da743c0d6a02d8bf35,1325979867,34.535738,-94.524795,1
12099,2019-01-07 23:58:00,3597980000000000.0,fraud_Heidenreich PLC,grocery_pos,289.69,Mark,Allen,M,25360 Mcgee Forge,De Queen,AR,71832,34.0442,-94.3386,11253,"Scientist, biomedical",1957-04-25,684dc0e31f25528e2daf78e488f6adca,1325980713,34.90683,-94.7085,1
12109,2019-01-08 00:03:00,4806440000000.0,fraud_Kuhic Inc,grocery_pos,311.83,Eric,Patel,M,69459 Rachel Prairie Apt. 850,Ironton,OH,45638,38.5294,-82.6654,21635,Geochemist,2001-07-10,b238b17dd92611ded634764e3bc95af3,1325981012,37.786479,-83.50659,1
12132,2019-01-08 00:26:00,4806440000000.0,fraud_Strosin-Cruickshank,grocery_pos,283.19,Eric,Patel,M,69459 Rachel Prairie Apt. 850,Ironton,OH,45638,38.5294,-82.6654,21635,Geochemist,2001-07-10,4ad4cd3d8e148316146ce11a2eacdf54,1325982417,38.445375,-82.410087,1
12204,2019-01-08 01:23:00,342036000000000.0,"fraud_Jenkins, Hauck and Friesen",gas_transport,15.82,Jennifer,Carrillo,F,334 Adam Mountains Apt. 868,Manquin,VA,23106,37.7184,-77.186,976,"Engineer, automotive",1999-06-19,466056ecfc93e779fe86f1734deb8c5d,1325985799,38.032519,-77.88831,1
12210,2019-01-08 01:25:00,3597980000000000.0,fraud_Padberg-Welch,grocery_pos,296.32,Mark,Allen,M,25360 Mcgee Forge,De Queen,AR,71832,34.0442,-94.3386,11253,"Scientist, biomedical",1957-04-25,9e677afcc5538c9ac0a8de845e8c404b,1325985951,34.776591,-94.138256,1
12225,2019-01-08 01:36:00,342036000000000.0,fraud_O'Keefe-Hudson,grocery_pos,334.28,Jennifer,Carrillo,F,334 Adam Mountains Apt. 868,Manquin,VA,23106,37.7184,-77.186,976,"Engineer, automotive",1999-06-19,3ec5c62cc7befbf5936f617dd15f4e11,1325986575,37.751241,-78.15634,1
12246,2019-01-08 01:50:00,4859530000000000.0,fraud_Howe Ltd,misc_pos,664.73,Rebecca,Farley,F,383 Long Islands,Downsville,NY,13755,42.0716,-75.0152,1228,"Psychotherapist, child",1990-02-25,61817f427fdb2a54d7c51595026021d2,1325987429,41.124211,-75.954718,1
12268,2019-01-08 02:09:00,3597980000000000.0,"fraud_Reilly, Heaney and Cole",gas_transport,8.79,Mark,Allen,M,25360 Mcgee Forge,De Queen,AR,71832,34.0442,-94.3386,11253,"Scientist, biomedical",1957-04-25,7e0f4a143f02460813ff71df073fe504,1325988541,35.042148,-94.430423,1
12290,2019-01-08 02:29:00,3597980000000000.0,fraud_Bauch-Raynor,grocery_pos,301.55,Mark,Allen,M,25360 Mcgee Forge,De Queen,AR,71832,34.0442,-94.3386,11253,"Scientist, biomedical",1957-04-25,3a65d82d127c75aebade81668e40f5c8,1325989794,34.081708,-94.914201,1
12297,2019-01-08 02:33:00,342036000000000.0,fraud_Doyle Ltd,grocery_pos,327.26,Jennifer,Carrillo,F,334 Adam Mountains Apt. 868,Manquin,VA,23106,37.7184,-77.186,976,"Engineer, automotive",1999-06-19,25c9ac5a9f7c80086c9f5352ef9a10c3,1325990014,36.985656,-76.563765,1
12329,2019-01-08 03:00:00,4859530000000000.0,fraud_Cormier LLC,shopping_net,1127.56,Rebecca,Farley,F,383 Long Islands,Downsville,NY,13755,42.0716,-75.0152,1228,"Psychotherapist, child",1990-02-25,30e549dc6d1bce7f67ba79622fa364cd,1325991611,41.324955,-75.497389,1
12338,2019-01-08 03:06:00,4806440000000.0,fraud_Bauch-Raynor,grocery_pos,276.41,Eric,Patel,M,69459 Rachel Prairie Apt. 850,Ironton,OH,45638,38.5294,-82.6654,21635,Geochemist,2001-07-10,9281d982af32a7f45bbb181bbb17243c,1325991966,37.601116,-83.040523,1
12386,2019-01-08 03:37:00,4859530000000000.0,fraud_Durgan-Auer,misc_net,722.92,Rebecca,Farley,F,383 Long Islands,Downsville,NY,13755,42.0716,-75.0152,1228,"Psychotherapist, child",1990-02-25,4a5d8951cffbaec09d5b7ffb5f5c8bb9,1325993838,41.763302,-75.411206,1
12420,2019-01-08 04:02:00,342036000000000.0,fraud_Erdman-Kertzmann,gas_transport,8.33,Jennifer,Carrillo,F,334 Adam Mountains Apt. 868,Manquin,VA,23106,37.7184,-77.186,976,"Engineer, automotive",1999-06-19,88c9a55a6a6d847ce635d5217d5985c7,1325995364,37.158814,-77.683783,1
12448,2019-01-08 04:26:00,4859530000000000.0,fraud_Murray-Smitham,grocery_pos,333.09,Rebecca,Farley,F,383 Long Islands,Downsville,NY,13755,42.0716,-75.0152,1228,"Psychotherapist, child",1990-02-25,d26385d8b8d9bd3389331563be51a58d,1325996773,42.908018,-75.716922,1
12983,2019-01-08 11:41:00,4806440000000.0,fraud_Murray-Smitham,grocery_pos,291.51,Eric,Patel,M,69459 Rachel Prairie Apt. 850,Ironton,OH,45638,38.5294,-82.6654,21635,Geochemist,2001-07-10,b44c077e1cc5ec2c7a79d8fe64cf91be,1326022864,39.426472,-83.495305,1
13481,2019-01-08 16:07:00,4859530000000000.0,fraud_Douglas-White,entertainment,564.57,Rebecca,Farley,F,383 Long Islands,Downsville,NY,13755,42.0716,-75.0152,1228,"Psychotherapist, child",1990-02-25,f56d01ff54f475c73fe91a13cbb824ad,1326038825,42.857025,-74.85479,1
14206,2019-01-08 22:18:00,4859530000000000.0,fraud_Denesik and Sons,shopping_pos,929.28,Rebecca,Farley,F,383 Long Islands,Downsville,NY,13755,42.0716,-75.0152,1228,"Psychotherapist, child",1990-02-25,c21ffa44c38c315d260b4f9487cc0335,1326061094,42.996841,-74.702234,1
14225,2019-01-08 22:27:00,342036000000000.0,fraud_Huel Ltd,misc_net,848.32,Jennifer,Carrillo,F,334 Adam Mountains Apt. 868,Manquin,VA,23106,37.7184,-77.186,976,"Engineer, automotive",1999-06-19,ea16c9d6592042af750373f1e8180143,1326061672,36.89666,-77.907818,1
14229,2019-01-08 22:28:00,3597980000000000.0,fraud_Cormier LLC,shopping_net,1003.72,Mark,Allen,M,25360 Mcgee Forge,De Queen,AR,71832,34.0442,-94.3386,11253,"Scientist, biomedical",1957-04-25,b7acd15e4f646a95231d520ee1a642f9,1326061723,33.576316,-95.062682,1
14241,2019-01-08 22:36:00,4806440000000.0,fraud_Auer-West,shopping_net,1131.66,Eric,Patel,M,69459 Rachel Prairie Apt. 850,Ironton,OH,45638,38.5294,-82.6654,21635,Geochemist,2001-07-10,420cc23e475d71bed60e1f8531b72976,1326062194,38.186537,-82.315761,1
14270,2019-01-08 22:48:00,4806440000000.0,fraud_Stamm-Witting,shopping_net,959.59,Eric,Patel,M,69459 Rachel Prairie Apt. 850,Ironton,OH,45638,38.5294,-82.6654,21635,Geochemist,2001-07-10,e3e405d96a992d6ac39c96b6a0a40414,1326062896,37.735337,-82.210806,1
14297,2019-01-08 23:05:00,3597980000000000.0,"fraud_Effertz, Welch and Schowalter",entertainment,388.02,Mark,Allen,M,25360 Mcgee Forge,De Queen,AR,71832,34.0442,-94.3386,11253,"Scientist, biomedical",1957-04-25,a0d0796e98083c82b8be49331bd8ce4b,1326063932,33.89745,-95.330061,1
14335,2019-01-08 23:22:00,4806440000000.0,"fraud_Altenwerth, Cartwright and Koss",shopping_net,1050.01,Eric,Patel,M,69459 Rachel Prairie Apt. 850,Ironton,OH,45638,38.5294,-82.6654,21635,Geochemist,2001-07-10,5f1c74bdd31fe307b46329446bdb54bc,1326064952,39.060309,-81.737885,1
14370,2019-01-08 23:37:00,4806440000000.0,"fraud_Towne, Greenholt and Koepp",shopping_net,996.93,Eric,Patel,M,69459 Rachel Prairie Apt. 850,Ironton,OH,45638,38.5294,-82.6654,21635,Geochemist,2001-07-10,a03e9c82cfbc34079714731b0b58f313,1326065853,37.786024,-81.928469,1
14405,2019-01-08 23:54:00,342036000000000.0,fraud_Jewess LLC,shopping_pos,1030.43,Jennifer,Carrillo,F,334 Adam Mountains Apt. 868,Manquin,VA,23106,37.7184,-77.186,976,"Engineer, automotive",1999-06-19,f75fd6c755c25ef0c4c19e529e5598c4,1326066861,37.047639,-77.100192,1
14413,2019-01-08 23:58:00,4806440000000.0,"fraud_Altenwerth, Cartwright and Koss",shopping_net,937.47,Eric,Patel,M,69459 Rachel Prairie Apt. 850,Ironton,OH,45638,38.5294,-82.6654,21635,Geochemist,2001-07-10,4066d212b6068496c994620350b5b9ed,1326067094,38.430689,-82.344224,1
14433,2019-01-09 00:22:00,4806440000000.0,"fraud_Jones, Sawayn and Romaguera",misc_net,623.43,Eric,Patel,M,69459 Rachel Prairie Apt. 850,Ironton,OH,45638,38.5294,-82.6654,21635,Geochemist,2001-07-10,48ccc906742f28407fe83ed91cea5448,1326068556,39.18755,-82.342372,1
14441,2019-01-09 00:32:00,4859530000000000.0,fraud_Hackett-Lueilwitz,grocery_pos,346.69,Rebecca,Farley,F,383 Long Islands,Downsville,NY,13755,42.0716,-75.0152,1228,"Psychotherapist, child",1990-02-25,737d7c9d2440b519df70efb9488221a0,1326069176,41.300248,-74.022048,1
14486,2019-01-09 01:26:00,6526960000000000.0,fraud_Koepp-Witting,grocery_pos,337.06,Jennifer,Scott,F,7351 Cindy Well Suite 099,Naples,FL,34120,26.3304,-81.5871,276002,Medical technical officer,1950-12-14,8276e627c4a4b500a02ad2e7bd5ebf7c,1326072387,26.137097,-82.463519,1
14512,2019-01-09 01:59:00,3513620000000000.0,"fraud_Eichmann, Bogan and Rodriguez",gas_transport,18.86,Amber,Perez,F,954 Reyes Ways,Fulton,SD,57340,43.7588,-97.8712,355,Financial adviser,1955-06-26,acdc1cdf75be4966dd778b55680566a9,1326074366,42.903425,-97.212673,1
14514,2019-01-09 02:04:00,4859530000000000.0,fraud_Boyer PLC,shopping_net,847.72,Rebecca,Farley,F,383 Long Islands,Downsville,NY,13755,42.0716,-75.0152,1228,"Psychotherapist, child",1990-02-25,e4901607e03c3cece4fd13d8a453328e,1326074677,42.006549,-74.340631,1
14526,2019-01-09 02:20:00,4806440000000.0,fraud_Kerluke PLC,misc_net,897.67,Eric,Patel,M,69459 Rachel Prairie Apt. 850,Ironton,OH,45638,38.5294,-82.6654,21635,Geochemist,2001-07-10,81f8395c77b3695ccd2f8f2fe76346a2,1326075612,38.842504,-82.041428,1
14543,2019-01-09 02:52:00,6526960000000000.0,fraud_Miller-Hauck,grocery_pos,305.6,Jennifer,Scott,F,7351 Cindy Well Suite 099,Naples,FL,34120,26.3304,-81.5871,276002,Medical technical officer,1950-12-14,741210725eb19fed3a2323d5acc25fb6,1326077549,25.679503,-81.025904,1
14565,2019-01-09 03:26:00,6526960000000000.0,fraud_Koepp-Parker,grocery_pos,301.33,Jennifer,Scott,F,7351 Cindy Well Suite 099,Naples,FL,34120,26.3304,-81.5871,276002,Medical technical officer,1950-12-14,119742fa5c0fb98147bb370520f08f8e,1326079567,26.781286,-81.183791,1
14601,2019-01-09 04:39:00,4859530000000000.0,fraud_McGlynn-Heathcote,misc_net,701.88,Rebecca,Farley,F,383 Long Islands,Downsville,NY,13755,42.0716,-75.0152,1228,"Psychotherapist, child",1990-02-25,5b867492da7fb7bfc3e4e3edbea002f7,1326083954,41.456892,-75.169086,1
14816,2019-01-09 10:38:00,6526960000000000.0,"fraud_Mosciski, Gislason and Mertz",grocery_pos,303.14,Jennifer,Scott,F,7351 Cindy Well Suite 099,Naples,FL,34120,26.3304,-81.5871,276002,Medical technical officer,1950-12-14,aa1989a8da91dd1cc88c671f1a7fbbbf,1326105529,25.733667,-80.851187,1
15036,2019-01-09 15:04:00,4806440000000.0,fraud_Miller-Harris,misc_net,749.94,Eric,Patel,M,69459 Rachel Prairie Apt. 850,Ironton,OH,45638,38.5294,-82.6654,21635,Geochemist,2001-07-10,b1f421eab0bc67aaf1c352c84816270e,1326121496,37.983548,-82.934619,1
15061,2019-01-09 15:21:00,3513620000000000.0,fraud_Kozey-Boehm,shopping_net,1006.34,Amber,Perez,F,954 Reyes Ways,Fulton,SD,57340,43.7588,-97.8712,355,Financial adviser,1955-06-26,f855301c6a93de05a4d4b4a9deb09d29,1326122490,44.40235,-97.844503,1
